id	filename	md5	size	state
0444bb3d-0844-4333-97b0-e71faca95abb	0444bb3d-0844-4333-97b0-e71faca95abb/28e28451-9c55-4f01-9ac1-fda75a6f828d.rna_seq.augmented_star_gene_counts.tsv	69c8089bcca59a42629ea9ccb20afbaf	4201510	validated
0940bd97-2818-48f6-a0a5-f955152409b8	0940bd97-2818-48f6-a0a5-f955152409b8/c9432a6e-4d79-4de2-8ffa-e3b05129f78f.rna_seq.augmented_star_gene_counts.tsv	5bbafbac99f4870fe80a93a79327b91b	4217208	validated
095b68ff-e317-4667-b1d1-ff69254d146a	095b68ff-e317-4667-b1d1-ff69254d146a/1432142c-908d-46d7-9a2a-2597a0f00ae8.rna_seq.augmented_star_gene_counts.tsv	0ecc766b77899935681ac871a2123245	4204246	validated
0c11ccb8-4405-4a2a-9180-b483fb845968	0c11ccb8-4405-4a2a-9180-b483fb845968/8e595756-ee6b-4fd9-9844-6001ea97fa2e.rna_seq.augmented_star_gene_counts.tsv	3e38693a31e0624a2e6103fe8c0786f4	4218543	validated
0dbea4cc-32b6-42af-b4f0-fa0a67b05a7f	0dbea4cc-32b6-42af-b4f0-fa0a67b05a7f/ebbdae1d-a199-4577-a73a-77e9c6a55a92.rna_seq.augmented_star_gene_counts.tsv	100989b20d9deb7c2da3433def64bdf2	4196151	validated
1080a7ed-8a78-43fc-a962-35127d9db655	1080a7ed-8a78-43fc-a962-35127d9db655/8f7a6ea3-dbbe-4b88-bb00-718a9ce7411d.rna_seq.augmented_star_gene_counts.tsv	9f68c4b87652d33e81c5ed1f728ce1f9	4206448	validated
1081e397-a17c-42f5-9f04-b937361441df	1081e397-a17c-42f5-9f04-b937361441df/cfa3467d-9796-4c34-b2ca-9cda7a5d20dc.rna_seq.augmented_star_gene_counts.tsv	2da437abe558bd5d19f58030ed377b73	4215939	validated
1314e20d-d48f-4c6c-b208-897bbf4cc147	1314e20d-d48f-4c6c-b208-897bbf4cc147/c30fdec0-6bbc-4719-ad1e-ff1e15eae98e.rna_seq.augmented_star_gene_counts.tsv	ba14280a793bb6c6bdd8f114f2632f7d	4217785	validated
2a816d7c-2cec-4c58-81c0-6fd32d3c3886	2a816d7c-2cec-4c58-81c0-6fd32d3c3886/d822f9c0-f1e2-4a2e-9636-f520806e6ce5.rna_seq.augmented_star_gene_counts.tsv	0544f5f21234ad17ebcb637de134197c	4196655	validated
2e678e78-d136-41a2-9a33-b00a10fc5fa8	2e678e78-d136-41a2-9a33-b00a10fc5fa8/458a31ae-18bf-4ffd-8f5c-d647a6e4adf3.rna_seq.augmented_star_gene_counts.tsv	f6249f4a4e9692ca3774dd51765e8a5f	4205982	validated
33a40e22-a6df-4406-aaab-c1a04f0dfc66	33a40e22-a6df-4406-aaab-c1a04f0dfc66/bf424b14-03e8-43a3-a978-ff5fb436886c.rna_seq.augmented_star_gene_counts.tsv	5a2391c20b4f2c3400bfa8a1b53fbe80	4198939	validated
35b3a2f1-d918-465e-b307-c06a71f31410	35b3a2f1-d918-465e-b307-c06a71f31410/d11ccf39-543b-4da6-a9ac-d49d9afe2054.rna_seq.augmented_star_gene_counts.tsv	0a33c2d361dcabb04cd327d106967827	4210468	validated
35f067e5-fde1-4793-8d6b-d9ddd951b7c5	35f067e5-fde1-4793-8d6b-d9ddd951b7c5/c74b62ad-52f4-4488-8628-ffc88df5d1bf.rna_seq.augmented_star_gene_counts.tsv	77ec78b416b2e80c9b4e915c6a804d47	4208246	validated
369e78e8-f553-4fe0-88d2-908b624b6f8b	369e78e8-f553-4fe0-88d2-908b624b6f8b/44a940fc-2b05-4010-80c0-68bf08b39be6.rna_seq.augmented_star_gene_counts.tsv	34fcfb17ede317df34ba3e8534328ac4	4221504	validated
37610f08-0c05-425f-a5a6-967bfb02aa23	37610f08-0c05-425f-a5a6-967bfb02aa23/58ee401f-87ef-47b1-97ae-797b5d6bd753.rna_seq.augmented_star_gene_counts.tsv	c4182ae6fea635b9d3836d33abfb9014	4193639	validated
37de7b75-c885-44c8-9227-6600d37438df	37de7b75-c885-44c8-9227-6600d37438df/c4d509c2-687f-42f2-a5a9-f92eb054ca39.rna_seq.augmented_star_gene_counts.tsv	17d56322ba32496e489e80e7a786c5e2	4206584	validated
3c077b2a-3a89-4f08-93fa-ecf50f1f7e73	3c077b2a-3a89-4f08-93fa-ecf50f1f7e73/a2cbad43-f7a6-4018-995f-82b22aa6fc8b.rna_seq.augmented_star_gene_counts.tsv	cb523c998297075e85e682038a5ba067	4204570	validated
3f848440-1cde-4fc4-898c-088e47d48627	3f848440-1cde-4fc4-898c-088e47d48627/2b192082-2d70-40aa-9268-5d3d6a3af6eb.rna_seq.augmented_star_gene_counts.tsv	17b84917f9a46aeac9092b9162f95279	4194399	validated
448a4db4-c17f-4838-b864-7a776e4b5505	448a4db4-c17f-4838-b864-7a776e4b5505/b0271a8a-4b7d-4689-98d3-1378840b485d.rna_seq.augmented_star_gene_counts.tsv	009c9abc87dc1a18268b33fb19d004e3	4198031	validated
4e7b0b50-fe61-46d5-94bd-e8544f5c85d3	4e7b0b50-fe61-46d5-94bd-e8544f5c85d3/22fc2b56-fe94-4b09-ae7d-37d463b3995d.rna_seq.augmented_star_gene_counts.tsv	f5e93b57ab42f8d975cdeb6295260aea	4205959	validated
4ec68bc8-3f5d-4d30-99e6-d5ddbdf9585a	4ec68bc8-3f5d-4d30-99e6-d5ddbdf9585a/bb4346c2-8149-4a5f-ae47-e6615bd61df2.rna_seq.augmented_star_gene_counts.tsv	d27486f753737aead0b217945c960b29	4184633	validated
5180b82d-ce78-4d0f-8624-f7678732344b	5180b82d-ce78-4d0f-8624-f7678732344b/6f8d77aa-5852-4467-8ef9-b7881294b969.rna_seq.augmented_star_gene_counts.tsv	f1c1e2c36e53ecebf21b3c5fba19dfcd	4198304	validated
51c45ad0-3a73-4561-9a2c-7a4c00de52c5	51c45ad0-3a73-4561-9a2c-7a4c00de52c5/d47d25be-4859-450a-a110-0e4bc7e2896b.rna_seq.augmented_star_gene_counts.tsv	efd62c3dd85e193dea58563e03c72c1b	4216048	validated
559f7bde-209c-4ca8-8bd7-dbac076e91d0	559f7bde-209c-4ca8-8bd7-dbac076e91d0/91bac874-6ad2-4946-9c3f-0ed733975fcf.rna_seq.augmented_star_gene_counts.tsv	2c3ecfbe4ad7bf65092ab3f6469e5138	4209099	validated
5faa2c8d-32d4-47c3-9689-8841e48e4eff	5faa2c8d-32d4-47c3-9689-8841e48e4eff/a5aab9e0-f114-4f42-b36e-5f1bdc49f128.rna_seq.augmented_star_gene_counts.tsv	139dc84f4f1c91c440903dc4158c480e	4203069	validated
667c2d08-7a5d-44fc-adb3-31dd2dbea87f	667c2d08-7a5d-44fc-adb3-31dd2dbea87f/cd36b4d0-5a38-4ce0-abcc-d8272968bf5c.rna_seq.augmented_star_gene_counts.tsv	f88b758ea7208171e4a19837d182df3f	4219105	validated
66cf470a-ec42-4f85-b4b2-bf7e8055a55b	66cf470a-ec42-4f85-b4b2-bf7e8055a55b/9b5248e9-4b02-4ffc-a3e2-242616d08ed2.rna_seq.augmented_star_gene_counts.tsv	004f69acd2e9b2a9423e3c281fdf137a	4207283	validated
6a598923-a466-455f-a6b6-3f468a1e76cb	6a598923-a466-455f-a6b6-3f468a1e76cb/87eca9a7-8eb9-43e0-b814-4743ed4f3526.rna_seq.augmented_star_gene_counts.tsv	60473acb9396e87dc6d4812e5b2f7ff1	4210353	validated
6e36807b-e15a-416b-bded-7202a9dab757	6e36807b-e15a-416b-bded-7202a9dab757/53cdad59-2abc-49cb-8757-ca9d1fee5c1c.rna_seq.augmented_star_gene_counts.tsv	77f31215705044ae05c4f8863c620274	4210774	validated
6e812349-35e7-44e7-ac7c-a4bc19d81fd0	6e812349-35e7-44e7-ac7c-a4bc19d81fd0/14fc153e-3cb3-4d3f-8259-b73a436f3d0b.rna_seq.augmented_star_gene_counts.tsv	6eef53bb76ba2ab3fc3842fb29cfae88	4201688	validated
6f98bcbf-b39e-4c18-ba5e-3505adaac6b5	6f98bcbf-b39e-4c18-ba5e-3505adaac6b5/6b8fc8fd-e32d-43fa-8f8c-fa0b38ce9b69.rna_seq.augmented_star_gene_counts.tsv	452cb50f539065247ae325bce90b11fb	4204955	validated
73857f48-b515-4c00-911e-b0338b3336fa	73857f48-b515-4c00-911e-b0338b3336fa/789c2a90-968b-4745-ad64-6dd7fe6463ff.rna_seq.augmented_star_gene_counts.tsv	82673239044a02b31411375cd72ea84c	4199640	validated
7ddcf3fa-7d26-46e1-a710-6831df9f2e66	7ddcf3fa-7d26-46e1-a710-6831df9f2e66/a922a7b1-be19-490b-80aa-09b1f867a4fd.rna_seq.augmented_star_gene_counts.tsv	9fa48bba0ce6619ffaa4a12e15b7b8f0	4187249	validated
853874dd-4482-4dd2-aa8f-a0a43562928d	853874dd-4482-4dd2-aa8f-a0a43562928d/92385f19-0c30-4014-845b-cad864782b61.rna_seq.augmented_star_gene_counts.tsv	e4277d4019758be278ddbffcd40e1875	4200582	validated
886fbdb4-b0a8-481b-9721-5e63956caebd	886fbdb4-b0a8-481b-9721-5e63956caebd/2070f2a7-db7f-4070-8997-5c56140c41ae.rna_seq.augmented_star_gene_counts.tsv	b283e18242719a1610fa188bff498d27	4208003	validated
8ff0d081-c3b0-4d26-9ace-e7903a9b16eb	8ff0d081-c3b0-4d26-9ace-e7903a9b16eb/3b21a0fe-8a3b-4473-8bd1-523ab630dc71.rna_seq.augmented_star_gene_counts.tsv	30bd65696d395959ec717ac12cc52a5b	4213849	validated
9196e9a3-dc4e-45b3-9c6a-6efb38f1a029	9196e9a3-dc4e-45b3-9c6a-6efb38f1a029/a738f130-d151-463b-9889-2d379ebe52d2.rna_seq.augmented_star_gene_counts.tsv	3f4efbe0990c1ef0c87d18d0c0a6ee8a	4203429	validated
91a6115e-5869-43b2-a7ff-059ad0235071	91a6115e-5869-43b2-a7ff-059ad0235071/45ea416c-9172-4eda-9d87-b9e17148d2d4.rna_seq.augmented_star_gene_counts.tsv	77ebcf6b66e35a0e08454d966171f234	4219573	validated
ba8582e9-496b-42d8-8eca-189d3369bce7	ba8582e9-496b-42d8-8eca-189d3369bce7/4044408b-0b42-407b-9ea3-bab66dedb545.rna_seq.augmented_star_gene_counts.tsv	884140917feb2688ee63a7ba02666742	4212199	validated
c1566f1c-3b79-4803-8a62-23de06619811	c1566f1c-3b79-4803-8a62-23de06619811/e5ec55da-630f-406e-b561-399fd081e43d.rna_seq.augmented_star_gene_counts.tsv	e665fb3b32ea06ff873186829c4f0f52	4211503	validated
c610d382-879b-43ae-8a0d-7ca2a27f990d	c610d382-879b-43ae-8a0d-7ca2a27f990d/0f370106-5023-4198-810b-63f84577269a.rna_seq.augmented_star_gene_counts.tsv	a8810cd2701587cccf44c26384595948	4217970	validated
cc1ab143-14a1-49f5-88d3-e386c8d6c0b1	cc1ab143-14a1-49f5-88d3-e386c8d6c0b1/176a155c-064d-4c25-a355-430c20fb8804.rna_seq.augmented_star_gene_counts.tsv	105271e7238b9e6977e8c2b8e576e620	4206484	validated
d139256a-c9e8-417b-90af-c466a58d459d	d139256a-c9e8-417b-90af-c466a58d459d/c0b92413-c9f7-4a67-9ca7-cb065ac9c407.rna_seq.augmented_star_gene_counts.tsv	8e93ddc7538d8b7aaa829d040c7e4d25	4209435	validated
db6f39e9-6134-47fe-92c7-35d71fd19e68	db6f39e9-6134-47fe-92c7-35d71fd19e68/414b9abf-8e4b-4d3a-b97d-34fb384b43d7.rna_seq.augmented_star_gene_counts.tsv	5cc101b04c9803485631eb7baf0dc514	4199398	validated
ddeb287b-8d2f-40f2-89dc-def570237300	ddeb287b-8d2f-40f2-89dc-def570237300/23a791d2-b0fd-4c72-b3e8-ab3ecfb3c4b8.rna_seq.augmented_star_gene_counts.tsv	8d0908903668c610c53c0145cc31da63	4197959	validated
df0c36cd-5eae-480f-871e-1aef2a418350	df0c36cd-5eae-480f-871e-1aef2a418350/3b4e1fdc-dcc1-4616-93b5-0f44bee5c64d.rna_seq.augmented_star_gene_counts.tsv	875d5ea0423bac11f8d825c57ee2a89d	4204168	validated
e5c65ba0-d937-4ed9-aa81-99bc48717a2d	e5c65ba0-d937-4ed9-aa81-99bc48717a2d/6317d700-9096-4ae7-9b13-40c9b64bf319.rna_seq.augmented_star_gene_counts.tsv	a9b353c68e23cdfe02e30df0243ff7d1	4203632	validated
e5f2fe00-70ca-4fc8-bfd4-d34bfee2e11a	e5f2fe00-70ca-4fc8-bfd4-d34bfee2e11a/45b37332-1ac3-40bb-b167-44050d144917.rna_seq.augmented_star_gene_counts.tsv	b0c14b016cb1124a833c779a266cdb1b	4204106	validated
e67eb79f-6860-49ca-8cf2-bda65255fb98	e67eb79f-6860-49ca-8cf2-bda65255fb98/d57a7480-e0ce-416b-8db1-d09302cc0d89.rna_seq.augmented_star_gene_counts.tsv	b2540362d0f3389f08e437fd1a97e0ec	4196826	validated
f9903ebc-4434-40d9-ad03-20ca825a666e	f9903ebc-4434-40d9-ad03-20ca825a666e/c54c553f-7024-4425-b489-dd959bee3e62.rna_seq.augmented_star_gene_counts.tsv	76c76215ae0cc04bdbc17e322eb4d956	4194557	validated
